age,workclass,fnlwgt,education,education_num,status,occupation,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,government,77516,Bachelors,13,not_married,corporate_job,Male,2174,0,40,United_States,more_than_50k
50,Self_emp,83311,Bachelors,13,married,corporate_job,Male,0,0,13,United_States,more_than_50k
38,Private,215646,HS_grad,9,not_married,servant,Male,0,0,40,United_States,more_than_50k
53,Private,234721,SS_grad,7,married,servant,Male,0,0,40,United_States,more_than_50k
28,Private,338409,Bachelors,13,married,Prof_specialty,Female,0,0,40,Other,more_than_50k
37,Private,284582,Masters,14,married,corporate_job,Female,0,0,40,United_States,more_than_50k
49,Private,160187,ES_grad,5,married,Other_service,Female,0,0,16,Other,more_than_50k
52,Self_emp,209642,HS_grad,9,married,corporate_job,Male,0,0,45,United_States,less_than_50k
31,Private,45781,Masters,14,not_married,Prof_specialty,Female,14084,0,50,United_States,less_than_50k
42,Private,159449,Bachelors,13,married,corporate_job,Male,5178,0,40,United_States,less_than_50k
37,Private,280464,Bachelors,10,married,corporate_job,Male,0,0,80,United_States,less_than_50k
30,government,141297,Bachelors,13,married,Prof_specialty,Male,0,0,40,India,less_than_50k
23,Private,122272,Bachelors,13,not_married,corporate_job,Female,0,0,30,United_States,more_than_50k
32,Private,205019,Bachelors,12,not_married,corporate_job,Male,0,0,50,United_States,more_than_50k
34,Private,245487,ES_grad,4,married,Transport_moving,Male,0,0,45,Mexico,more_than_50k
25,Self_emp,176756,HS_grad,9,not_married,Farming_fishing,Male,0,0,35,United_States,more_than_50k
32,Private,186824,HS_grad,9,not_married,it_job,Male,0,0,40,United_States,more_than_50k
38,Private,28887,SS_grad,7,married,corporate_job,Male,0,0,50,United_States,more_than_50k
43,Self_emp,292175,Masters,14,not_married,corporate_job,Female,0,0,45,United_States,less_than_50k
40,Private,193524,Doctorate,16,married,Prof_specialty,Male,0,0,60,United_States,less_than_50k
54,Private,302146,HS_grad,9,not_married,Other_service,Female,0,0,20,United_States,more_than_50k
35,government,76845,ES_grad,5,married,Farming_fishing,Male,0,0,40,United_States,more_than_50k
43,Private,117037,SS_grad,7,married,Transport_moving,Male,0,2042,40,United_States,more_than_50k
59,Private,109015,HS_grad,9,not_married,it_job,Female,0,0,40,United_States,more_than_50k
56,government,216851,Bachelors,13,married,it_job,Male,0,0,40,United_States,less_than_50k
19,Private,168294,HS_grad,9,not_married,Craft_repair,Male,0,0,40,United_States,more_than_50k
39,Private,367260,HS_grad,9,not_married,corporate_job,Male,0,0,80,United_States,more_than_50k
49,Private,193366,HS_grad,9,married,Craft_repair,Male,0,0,40,United_States,more_than_50k
23,government,190709,Bachelors,12,not_married,servant,Male,0,0,52,United_States,more_than_50k
20,Private,266015,Bachelors,10,not_married,corporate_job,Male,0,0,44,United_States,more_than_50k
45,Private,386940,Bachelors,13,not_married,corporate_job,Male,0,1408,40,United_States,more_than_50k
30,government,59951,Bachelors,10,married,corporate_job,Male,0,0,40,United_States,more_than_50k
22,government,311512,Bachelors,10,married,Other_service,Male,0,0,15,United_States,more_than_50k
48,Private,242406,SS_grad,7,not_married,it_job,Male,0,0,40,Puerto_Rico,more_than_50k
21,Private,197200,Bachelors,10,not_married,it_job,Male,0,0,40,United_States,more_than_50k
19,Private,544091,HS_grad,9,married,corporate_job,Female,0,0,25,United_States,more_than_50k
48,Self_emp,265477,Bachelors,12,married,Prof_specialty,Male,0,0,40,United_States,more_than_50k
31,Private,507875,ES_grad,5,married,it_job,Male,0,0,43,United_States,more_than_50k
53,Self_emp,88506,Bachelors,13,married,Prof_specialty,Male,0,0,40,United_States,more_than_50k
24,Private,172987,Bachelors,13,married,it_job,Male,0,0,50,United_States,more_than_50k
49,Private,94638,HS_grad,9,not_married,corporate_job,Female,0,0,40,United_States,more_than_50k
25,Private,289980,HS_grad,9,not_married,servant,Male,0,0,35,United_States,more_than_50k
57,government,337895,Bachelors,13,married,Prof_specialty,Male,0,0,40,United_States,less_than_50k
53,Private,144361,HS_grad,9,married,it_job,Male,0,0,38,United_States,more_than_50k
44,Private,128354,Masters,14,not_married,corporate_job,Female,0,0,40,United_States,more_than_50k
41,government,101603,Bachelors,11,married,Craft_repair,Male,0,0,40,United_States,more_than_50k
29,Private,271466,Bachelors,11,not_married,Prof_specialty,Male,0,0,43,United_States,more_than_50k
25,Private,32275,Bachelors,10,married,corporate_job,Female,0,0,40,United_States,more_than_50k
47,Private,51835,Bachelors,15,married,Prof_specialty,Female,0,1902,60,Other,less_than_50k
50,government,251585,Bachelors,13,not_married,corporate_job,Male,0,0,55,United_States,less_than_50k
47,Self_emp,109832,HS_grad,9,not_married,corporate_job,Male,0,0,60,United_States,more_than_50k
43,Private,237993,Bachelors,10,married,it_job,Male,0,0,40,United_States,less_than_50k
46,Private,216666,Preschool,3,married,it_job,Male,0,0,40,Mexico,more_than_50k
35,Private,56352,Bachelors,11,married,Other_service,Male,0,0,40,Puerto_Rico,more_than_50k
41,Private,147372,HS_grad,9,married,corporate_job,Male,0,0,48,United_States,more_than_50k
30,Private,188146,HS_grad,9,married,it_job,Male,5013,0,40,United_States,more_than_50k
30,Private,59496,Bachelors,13,married,corporate_job,Male,2407,0,40,United_States,more_than_50k
48,Private,149640,HS_grad,9,married,Transport_moving,Male,0,0,40,United_States,more_than_50k
42,Private,116632,Doctorate,16,married,Prof_specialty,Male,0,0,45,United_States,less_than_50k
29,Private,105598,Bachelors,10,not_married,it_job,Male,0,0,58,United_States,more_than_50k
36,Private,155537,HS_grad,9,married,Craft_repair,Male,0,0,40,United_States,more_than_50k
28,Private,183175,Bachelors,10,not_married,corporate_job,Female,0,0,40,United_States,more_than_50k
53,Private,169846,HS_grad,9,married,corporate_job,Female,0,0,40,United_States,less_than_50k
49,Self_emp,191681,Bachelors,10,married,corporate_job,Male,0,0,50,United_States,less_than_50k
